alias,group
оак,cbc
общий анализ крови,cbc
клинический анализ крови,cbc
клинический анализ крови с лейкоформулой,cbc
клинический анализ крови без лейкоформулы,cbc
общий анализ крови с лейкоформулой,cbc
общий анализ крови без лейкоформулы,cbc
оам,urine_general
общий анализ мочи,urine_general
д димер,d_dimer
д-димер,d_dimer
d dimer,d_dimer
d-dimer,d_dimer
1 25-дигидроксихолекальциферол витамин d3 вэжх-мс,test_1_25_digidroksiholekaltsiferol_vitamin_d3_vezhh_ms
1 лок,test_gistologicheskoe_issledovanie_biopsiynogo_operatsionnogo_materiala_5_kat_slozhnosti_immuno
1 локус,test_peresmotr_gotovyh_tsitologicheskih_preparatov_vtoroe_mnenie_1_lokus
10-13 недель,test_prenatalnyy_skrining_i_trimestra_beremennosti_prisca_10_13_nedel_zaklyuchenie_vracha_kld_p
12 показателей,test_paket_onkoriski_brca1_2_folatnyy_tsikl_12_pokazateley
13907 с>g,test_rasshirennaya_diagnostika_laktaznoy_nedostatochnosti_msm6_13910_s_t_13907_s_g_13915_t_g_14
13915 t>g,test_rasshirennaya_diagnostika_laktaznoy_nedostatochnosti_msm6_13910_s_t_13907_s_g_13915_t_g_14
13с - уреазный дыхательный тест,test_13s_ureaznyy_dyhatelnyy_test_h_pylori
13с - уреазный дыхательный тест h pylori,test_13s_ureaznyy_dyhatelnyy_test_h_pylori
14010 g>с,test_rasshirennaya_diagnostika_laktaznoy_nedostatochnosti_msm6_13910_s_t_13907_s_g_13915_t_g_14
15-19 недель,test_prenatalnyy_skrining_ii_trimestra_beremennosti_prisca_15_19_nedel_zaklyuchenie_vracha_kld
17-oh-прогестерон,test_gidroksiprogesteron_17_oh_progesteron
17-ohp,test_gidroksiprogesteron_17_oh_progesteron
17-гидроксипрогестерон,test_gidroksiprogesteron_17_oh_progesteron
17-кетостероиды в суточной моче,test_17_ketosteroidy_androsteron_androstendion_dgea_etioholanolon_epiandrosteron_testosteron_ep
17-кетостероиды в суточной моче гх-мс,test_17_ketosteroidy_androsteron_androstendion_dgea_etioholanolon_epiandrosteron_testosteron_ep
17-он прогестерон,test_gidroksiprogesteron_17_oh_progesteron
18 показателей,test_antinuklearnye_antitela_immunoblot_k_rnp_sm_sm_ssa_60_ss_b_scl_70_pm_scl_cenp_b_jo_1_ana_p
18-21 и 28 экзоны гена vwf,test_genodiagnostika_1_2a_2v_2m_2n_3_tipov_bolezni_fon_villebranda_18_21_i_28_ekzony_gena_vwf
2 показателя,test_paket_ok_otsenka_riska_tromboza_pri_prieme_ok_i_gzt_2_pokazatelya
2 участника,test_universalnyy_test_na_ustanovlenie_rodstva_dedushka_babushka_vnuk_vnuchka_dyadya_tetya_plem
2 фракции,test_laktatdegidrogenaza_ldg_1_2_fraktsii
2-х стаканная проба мочи,test_2_h_stakannaya_proba_mochi
21 показатель,test_paket_riski_vozniknoveniya_serdechno_sosudistyh_zabolevaniy_risk_narusheniya_svertyvaniya
24,test_kompleksnyy_analiz_krovi_na_vitaminy_gruppy_d_25_on_d2_25_on_d3_1_25_on_d3_24_25_on_d3_vez
25-oh витамин d вэжх мс суммарный,test_25_oh_vitamin_d_vezhh_ms_summarnyy
25-oh витамин d вэжх мс суммарный кальциферол,test_25_oh_vitamin_d_vezhh_ms_summarnyy
25-oh витамин d ихла суммарный,test_25_oh_vitamin_d_ihla_summarnyy
25-oh витамин d ихла суммарный кальциферол,test_25_oh_vitamin_d_ihla_summarnyy
25-гидроксихолекальциферол витамин d3 вэжх-мс,test_25_gidroksiholekaltsiferol_vitamin_d3_vezhh_ms
25-гидроксиэргокальциферол витамин d2 вэжх-мс,test_25_gidroksiergokaltsiferol_vitamin_d2_vezhh_ms
25-он d2,test_kompleksnyy_analiz_krovi_na_vitaminy_gruppy_d_25_on_d2_25_on_d3_1_25_on_d3_24_25_on_d3_vez
25-он d3,test_kompleksnyy_analiz_krovi_na_vitaminy_gruppy_d_25_on_d2_25_on_d3_1_25_on_d3_24_25_on_d3_vez
2500 генов,test_skrining_na_nasledstvennye_zabolevaniya_2500_genov
287 антигенов,test_fox_food_xplorer_igg_287_antigenov_pischevaya_neperenosimost
2n,test_genodiagnostika_1_2a_2v_2m_2n_3_tipov_bolezni_fon_villebranda_18_21_i_28_ekzony_gena_vwf
2а,test_genodiagnostika_1_2a_2v_2m_2n_3_tipov_bolezni_fon_villebranda_18_21_i_28_ekzony_gena_vwf
2в,test_genodiagnostika_1_2a_2v_2m_2n_3_tipov_bolezni_fon_villebranda_18_21_i_28_ekzony_gena_vwf
2м,test_genodiagnostika_1_2a_2v_2m_2n_3_tipov_bolezni_fon_villebranda_18_21_i_28_ekzony_gena_vwf
3 контейнера тело,test_gistologicheskoe_issledovanie_endoskopicheskogo_materiala_zheludka_olga_3_konteynera_telo
3 типов болезни фон виллебранда,test_genodiagnostika_1_2a_2v_2m_2n_3_tipov_bolezni_fon_villebranda_18_21_i_28_ekzony_gena_vwf
3-галактоза,test_galaktoza_alfa_1_3_galaktoza_α_gal_allergokomponent_ige_immunocap_o215
3-х стаканная проба мочи,test_3_h_stakannaya_proba_mochi
300 компонентов,allergen_allergochip_alex2_300_komponentov_vklyuchaet_opredelenie_obs
300 компонентов включает определение общего,allergen_allergochip_alex2_300_komponentov_vklyuchaet_opredelenie_obs
38 аберраций гена cftr,test_diagnostika_cftr_assotsiirovannyh_zabolevaniy_besplodie_pankreatit_mukovistsidoz_38_aberra
4 реакции er,test_kompleksnoe_gistologicheskoe_i_immunogistohimicheskoe_igh_issledovanie_pri_opuholi_molochn
4-нонилфенол в разовой порции мочи,test_bisfenol_a_triklozan_4_nonilfenol_toksiny_iz_plastmass_gigienicheskih_sredstv_moyuschih_sr
5 diff,cbc
5 показателей,test_idealnyy_ves_dieta_i_fitnes_5_pokazateley
5diff,cbc
6 показателей,test_kompleksnaya_geneticheskaya_diagnostika_sindroma_polikistoza_yaichnikov_spkya_6_pokazatele
6 экзонов гена pcsk9,test_geneticheskaya_diagnostika_semeynoy_giperholesterinemii_6_ekzonov_gena_pcsk9
60 генов,test_onkokarta_60_genov_opuholevaya_tkan
66,test_dnk_papillomavirusov_vpch_vysokogo_kantserogennogo_riska_14_tipov_kvm_tipy_16_18_31_33_35
68,test_dnk_papillomavirusov_vpch_vysokogo_kantserogennogo_riska_14_tipov_kvm_tipy_16_18_31_33_35
8 аналитов - оценка риска камнеобразования,test_litogennye_substantsii_mochi_8_analitov_otsenka_riska_kamneobrazovaniya_sutochnaya_mocha
9 экзона гена calr,test_opredelenie_mutatsiy_v617f_v_14_ekzone_gena_jak_2_kinaza_w515_v_gene_mpl_9_ekzona_gena_cal
a-dsdna,test_antitela_k_dvuspiralnoy_dnk_nativnoy_a_dsdna
